"","trial_no","condition","block_no","id","closeness"
"491",5,"empathy_decay",2,"md_as_06",62
"492",5,"empathy_decay",2,"md_as_07",87
"493",5,"empathy_decay",2,"md_as_08",55
"494",5,"empathy_decay",2,"md_as_09",83
"495",5,"empathy_decay",2,"md_as_10",35
"496",5,"empathy_decay",2,"md_as_11",68
"497",5,"empathy_decay",2,"md_as_23",15
"498",5,"empathy_decay",2,"md_as_24",37
"499",5,"empathy_decay",2,"md_as_25",76
"500",5,"empathy_decay",2,"md_as_26",36
"501",5,"empathy_decay",2,"md_as_27",35
"502",5,"empathy_decay",2,"md_as_28",10
"503",5,"empathy_decay",2,"md_as_29",53
"504",5,"empathy_decay",2,"md_as_39",16
"505",5,"empathy_decay",2,"md_as_43",20
"506",5,"empathy_decay",2,"md_as_44",49
"507",5,"empathy_decay",2,"md_as_45",66
"508",5,"empathy_decay",2,"md_as_46",70
"509",5,"empathy_decay",2,"md_as_51",65
"510",5,"empathy_decay",2,"md_as_56",49
"511",5,"empathy_decay",2,"md_as_57",51
"512",5,"empathy_decay",2,"md_as_58",67
"513",5,"empathy_decay",2,"md_as_59",14
"514",5,"empathy_decay",4,"md_as_01",48
"515",5,"empathy_decay",4,"md_as_02",48
"516",5,"empathy_decay",4,"md_as_04",32
"517",5,"empathy_decay",4,"md_as_05",32
"518",5,"empathy_decay",4,"md_as_06",59
"519",5,"empathy_decay",4,"md_as_07",90
"520",5,"empathy_decay",4,"md_as_08",41
"521",5,"empathy_decay",4,"md_as_09",65
"522",5,"empathy_decay",4,"md_as_10",37
"523",5,"empathy_decay",4,"md_as_11",60
"524",5,"empathy_decay",4,"md_as_23",20
"525",5,"empathy_decay",4,"md_as_24",29
"526",5,"empathy_decay",4,"md_as_25",63
"527",5,"empathy_decay",4,"md_as_26",61
"528",5,"empathy_decay",4,"md_as_27",36
"529",5,"empathy_decay",4,"md_as_28",28
"530",5,"empathy_decay",4,"md_as_29",46
"531",5,"empathy_decay",4,"md_as_39",24
"532",5,"empathy_decay",4,"md_as_43",40
"533",5,"empathy_decay",4,"md_as_44",25
"534",5,"empathy_decay",4,"md_as_45",63
"535",5,"empathy_decay",4,"md_as_46",77
"536",5,"empathy_decay",4,"md_as_51",63
"537",5,"empathy_decay",4,"md_as_56",70
"538",5,"empathy_decay",4,"md_as_57",50
"539",5,"empathy_decay",4,"md_as_58",59
"540",5,"empathy_decay",4,"md_as_59",19
"541",6,"empathy_control",2,"md_as_01",45
"542",6,"empathy_control",2,"md_as_02",54
"543",6,"empathy_control",2,"md_as_04",19
"544",6,"empathy_control",2,"md_as_05",85
"545",6,"empathy_control",2,"md_as_06",59
"546",6,"empathy_control",2,"md_as_07",78
"547",6,"empathy_control",2,"md_as_08",54
"548",6,"empathy_control",2,"md_as_09",51
"549",6,"empathy_control",2,"md_as_10",32
"550",6,"empathy_control",2,"md_as_11",59
"551",6,"empathy_control",2,"md_as_23",23
"552",6,"empathy_control",2,"md_as_24",28
"553",6,"empathy_control",2,"md_as_25",67
"554",6,"empathy_control",2,"md_as_26",42
"555",6,"empathy_control",2,"md_as_27",31
"556",6,"empathy_control",2,"md_as_28",25
"557",6,"empathy_control",2,"md_as_29",43
"558",6,"empathy_control",2,"md_as_39",16
"559",6,"empathy_control",2,"md_as_43",33
"560",6,"empathy_control",2,"md_as_44",51
"561",6,"empathy_control",2,"md_as_45",64
"562",6,"empathy_control",2,"md_as_46",3
"563",6,"empathy_control",2,"md_as_51",53
"564",6,"empathy_control",2,"md_as_56",30
"565",6,"empathy_control",2,"md_as_57",57
"566",6,"empathy_control",2,"md_as_58",50
"567",6,"empathy_control",2,"md_as_59",15
"568",6,"empathy_control",4,"md_as_01",39
"569",6,"empathy_control",4,"md_as_02",75
"570",6,"empathy_control",4,"md_as_04",35
"571",6,"empathy_control",4,"md_as_05",85
"572",6,"empathy_control",4,"md_as_06",60
"573",6,"empathy_control",4,"md_as_07",72
"574",6,"empathy_control",4,"md_as_08",64
"575",6,"empathy_control",4,"md_as_09",62
"576",6,"empathy_control",4,"md_as_10",47
"577",6,"empathy_control",4,"md_as_11",72
"578",6,"empathy_control",4,"md_as_23",13
"579",6,"empathy_control",4,"md_as_24",10
"580",6,"empathy_control",4,"md_as_25",75
"581",6,"empathy_control",4,"md_as_26",62
"582",6,"empathy_control",4,"md_as_27",49
"583",6,"empathy_control",4,"md_as_28",47
"584",6,"empathy_control",4,"md_as_29",41
"585",6,"empathy_control",4,"md_as_39",28
"586",6,"empathy_control",4,"md_as_43",26
"587",6,"empathy_control",4,"md_as_44",40
"588",6,"empathy_control",4,"md_as_45",57
"589",6,"empathy_control",4,"md_as_46",74
"590",6,"empathy_control",4,"md_as_51",58
"591",6,"empathy_control",4,"md_as_56",47
"592",6,"empathy_control",4,"md_as_57",55
