"","condition","block_no","trial_type","id","choice_val.mean"
"314","decay","4","1","saulin_01_vp_43",23.8
"315","decay","4","1","saulin_01_vp_44",29
"316","decay","4","1","saulin_01_vp_45",52
"317","decay","4","1","saulin_01_vp_46",80
"318","decay","4","1","saulin_01_vp_47",28
"319","decay","4","1","saulin_01_vp_48",85.8
"320","decay","4","1","saulin_01_vp_49",47
"321","decay","4","1","saulin_01_vp_50",31
"322","decay","4","1","saulin_01_vp_51",47
"323","decay","4","2","saulin_01_vp_01",33.95
"324","decay","4","2","saulin_01_vp_02",48.55
"325","decay","4","2","saulin_01_vp_03",77.8
"326","decay","4","2","saulin_01_vp_04",58.35
"327","decay","4","2","saulin_01_vp_05",70.05
"328","decay","4","2","saulin_01_vp_06",74.6
"329","decay","4","2","saulin_01_vp_10",68.95
"330","decay","4","2","saulin_01_vp_11",13.2
"331","decay","4","2","saulin_01_vp_12",85.7
"332","decay","4","2","saulin_01_vp_14",77.8
"333","decay","4","2","saulin_01_vp_15",30.7
"334","decay","4","2","saulin_01_vp_16",38.15
"335","decay","4","2","saulin_01_vp_17",69.35
"336","decay","4","2","saulin_01_vp_18",55.85
"337","decay","4","2","saulin_01_vp_19",21.05
"338","decay","4","2","saulin_01_vp_20",65.2
"339","decay","4","2","saulin_01_vp_21",80.05
"340","decay","4","2","saulin_01_vp_22",72.9
"341","decay","4","2","saulin_01_vp_23",78.5
"342","decay","4","2","saulin_01_vp_24",63.1
"343","decay","4","2","saulin_01_vp_25",38.35
"344","decay","4","2","saulin_01_vp_26",57.35
"345","decay","4","2","saulin_01_vp_27",55.9
"346","decay","4","2","saulin_01_vp_29",54.4
"347","decay","4","2","saulin_01_vp_30",43.55
"348","decay","4","2","saulin_01_vp_31",80.8
"349","decay","4","2","saulin_01_vp_32",77.3
"350","decay","4","2","saulin_01_vp_33",86.25
"351","decay","4","2","saulin_01_vp_34",68
"352","decay","4","2","saulin_01_vp_35",83.55
"353","decay","4","2","saulin_01_vp_36",48.15
"354","decay","4","2","saulin_01_vp_37",53
"355","decay","4","2","saulin_01_vp_38",72.3
"356","decay","4","2","saulin_01_vp_39",43.9
"357","decay","4","2","saulin_01_vp_40",32.15
"358","decay","4","2","saulin_01_vp_41",71.65
"359","decay","4","2","saulin_01_vp_42",41.2
"360","decay","4","2","saulin_01_vp_43",54.3
"361","decay","4","2","saulin_01_vp_44",37.2
"362","decay","4","2","saulin_01_vp_45",71.25
"363","decay","4","2","saulin_01_vp_46",83.1
"364","decay","4","2","saulin_01_vp_47",50.25
"365","decay","4","2","saulin_01_vp_48",91.55
"366","decay","4","2","saulin_01_vp_49",61.3
"367","decay","4","2","saulin_01_vp_50",38.4
"368","decay","4","2","saulin_01_vp_51",49.85
