"","condition","block_no","trial_no","trial_type","rt","emotion_rating","id","EC","PT","sample","closeness"
"159","treatment","block 1",9,"2","1967",-0.553426168644577,"md_as_02",-0.498189001454062,16,"behavior",1.02011613158582
"160","treatment","block 1",10,"1","3779",-0.743713545480321,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"161","treatment","block 1",11,"2","3355",-0.743713545480321,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"162","treatment","block 1",12,"1","4738",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.648858554758914
"163","treatment","block 1",13,"1","3783",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.880894540275731
"164","treatment","block 1",14,"1","2286",-1.16234577451896,"md_as_02",-0.498189001454062,16,"behavior",1.11293052579255
"165","treatment","block 1",15,"1","2267",-1.2765182006204,"md_as_02",-0.498189001454062,16,"behavior",1.11293052579255
"166","treatment","block 1",16,"1","4404",-1.3526331513547,"md_as_02",-0.498189001454062,16,"behavior",1.15933772289591
"167","treatment","block 1",17,"2","2994",-0.857885971581767,"md_as_02",-0.498189001454062,16,"behavior",1.15933772289591
"168","treatment","block 1",18,"1","2891",-0.705656070113172,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"169","treatment","block 1",19,"1","1374",-1.31457567598755,"md_as_02",-0.498189001454062,16,"behavior",0.324008175035371
"170","treatment","block 1",20,"1","3513",-1.08623082378466,"md_as_02",-0.498189001454062,16,"behavior",0.880894540275731
"171","treatment","block 1",21,"2","2306",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.927301737379094
"172","treatment","block 1",22,"1","3258",-1.04817334841751,"md_as_02",-0.498189001454062,16,"behavior",0.648858554758914
"173","treatment","block 1",23,"1","3153",-1.04817334841751,"md_as_02",-0.498189001454062,16,"behavior",0.648858554758914
"174","treatment","block 1",24,"1","4454",-0.972058397683213,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
"175","treatment","block 1",25,"1","2106",-1.31457567598755,"md_as_02",-0.498189001454062,16,"behavior",1.02011613158582
"176","treatment","block 2",1,"2","4584",-0.0206215135044958,"md_as_02",-0.498189001454062,16,"behavior",0.138379386621918
"177","treatment","block 2",2,"1","3757",-0.591483644011726,"md_as_02",-0.498189001454062,16,"behavior",-0.0936565988948988
"178","treatment","block 2",3,"2","3786",-0.363138791808834,"md_as_02",-0.498189001454062,16,"behavior",0.509636963448824
"179","treatment","block 2",4,"2","1928",0.0174359618626529,"md_as_02",-0.498189001454062,16,"behavior",0.277600977932008
"180","treatment","block 2",5,"2","2277",0.169665863331248,"md_as_02",-0.498189001454062,16,"behavior",-0.000842204688172226
"181","treatment","block 2",6,"2","3164",0.169665863331248,"md_as_02",-0.498189001454062,16,"behavior",0.0919721895185544
"182","treatment","block 2",7,"2","2865",0.131608387964099,"md_as_02",-0.498189001454062,16,"behavior",0.184786583725281
"183","treatment","block 2",8,"2","1988",0.283838289432694,"md_as_02",-0.498189001454062,16,"behavior",0.0455649924151911
"184","treatment","block 2",9,"1","3597",-0.363138791808834,"md_as_02",-0.498189001454062,16,"behavior",-0.000842204688172226
"185","treatment","block 2",10,"2","3779",-0.363138791808834,"md_as_02",-0.498189001454062,16,"behavior",0.602451357655551
"186","treatment","block 2",11,"1","3434",-0.591483644011726,"md_as_02",-0.498189001454062,16,"behavior",0.370415372138734
"187","treatment","block 2",12,"2","2363",-0.134793939605942,"md_as_02",-0.498189001454062,16,"behavior",0.741672948965641
"188","treatment","block 2",13,"2","3637",-0.0206215135044958,"md_as_02",-0.498189001454062,16,"behavior",0.648858554758914
"189","treatment","block 2",14,"2","1438",-0.17285141497309,"md_as_02",-0.498189001454062,16,"behavior",0.231193780828644
"190","treatment","block 2",15,"2","3713",0.131608387964099,"md_as_02",-0.498189001454062,16,"behavior",0.277600977932008
"191","treatment","block 2",16,"2","3357",0.0935509125969503,"md_as_02",-0.498189001454062,16,"behavior",0.0919721895185544
"192","treatment","block 2",17,"1","2607",-0.363138791808834,"md_as_02",-0.498189001454062,16,"behavior",0.463229766345461
"193","treatment","block 2",18,"2","3746",-0.401196267175983,"md_as_02",-0.498189001454062,16,"behavior",0.788080146069004
"194","treatment","block 2",19,"2","2579",-0.439253742543131,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"195","treatment","block 2",20,"2","2333",-0.287023841074536,"md_as_02",-0.498189001454062,16,"behavior",0.184786583725281
"196","treatment","block 2",21,"1","2914",-0.591483644011726,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"197","treatment","block 2",22,"2","2373",-0.248966365707388,"md_as_02",-0.498189001454062,16,"behavior",0.695265751862277
"198","treatment","block 2",23,"2","2202",-0.401196267175983,"md_as_02",-0.498189001454062,16,"behavior",0.556044160552188
"199","treatment","block 2",24,"2","2746",-0.210908890340239,"md_as_02",-0.498189001454062,16,"behavior",0.370415372138734
"200","treatment","block 2",25,"2","4193",-0.667598594746023,"md_as_02",-0.498189001454062,16,"behavior",0.509636963448824
"201","control","block 1",1,"1","4014",-0.781771020847469,"md_as_04",-0.498189001454062,19,"behavior",-1.20742932937562
"202","control","block 1",2,"2","3048",-0.439253742543131,"md_as_04",-0.498189001454062,19,"behavior",-1.25383652647898
"203","control","block 1",3,"1","1703",-0.819828496214618,"md_as_04",-0.498189001454062,19,"behavior",-0.928986146755438
"204","control","block 1",4,"2","4771",-1.01011587305036,"md_as_04",-0.498189001454062,19,"behavior",-1.39305811778907
"205","control","block 1",5,"1","3063",-0.781771020847469,"md_as_04",-0.498189001454062,19,"behavior",-1.30024372358234
"206","control","block 1",6,"2","1977",-0.781771020847469,"md_as_04",-0.498189001454062,19,"behavior",-1.34665092068571
"207","control","block 1",7,"1","845",-1.31457567598755,"md_as_04",-0.498189001454062,19,"behavior",-1.16102213227225
"208","control","block 1",8,"2","3138",-0.705656070113172,"md_as_04",-0.498189001454062,19,"behavior",-1.34665092068571
"209","control","block 1",9,"1","4726",-0.629541119378875,"md_as_04",-0.498189001454062,19,"behavior",-1.20742932937562
"210","control","block 1",10,"2","3948",-0.781771020847469,"md_as_04",-0.498189001454062,19,"behavior",-1.39305811778907
"211","control","block 1",11,"1","4611",-0.629541119378875,"md_as_04",-0.498189001454062,19,"behavior",-1.25383652647898
"212","control","block 1",12,"1","3893",-0.439253742543131,"md_as_04",-0.498189001454062,19,"behavior",-0.975393343858802
"213","control","block 1",13,"2","1785",-0.591483644011726,"md_as_04",-0.498189001454062,19,"behavior",-0.882578949652075
"214","control","block 1",14,"2","2301",-0.743713545480321,"md_as_04",-0.498189001454062,19,"behavior",-0.975393343858802
"215","control","block 1",15,"1","3271",-0.743713545480321,"md_as_04",-0.498189001454062,19,"behavior",-1.16102213227225
"216","control","block 1",16,"2","3189",-0.857885971581767,"md_as_04",-0.498189001454062,19,"behavior",-1.06820773806553
"217","control","block 1",17,"1","3080",-0.591483644011726,"md_as_04",-0.498189001454062,19,"behavior",-1.20742932937562
"218","control","block 1",18,"1","2538",-0.47731121791028,"md_as_04",-0.498189001454062,19,"behavior",-1.25383652647898
"219","control","block 1",19,"2","2434",-0.705656070113172,"md_as_04",-0.498189001454062,19,"behavior",-0.928986146755438
"220","control","block 1",20,"2","5363",-0.47731121791028,"md_as_04",-0.498189001454062,19,"behavior",-1.06820773806553
"221","control","block 1",21,"1","3559",-0.743713545480321,"md_as_04",-0.498189001454062,19,"behavior",-1.06820773806553
"222","control","block 1",22,"2","3366",-0.705656070113172,"md_as_04",-0.498189001454062,19,"behavior",-1.11461493516889
"223","control","block 1",23,"1","3825",-0.553426168644577,"md_as_04",-0.498189001454062,19,"behavior",-1.02180054096217
"224","control","block 1",24,"2","4339",-0.439253742543131,"md_as_04",-0.498189001454062,19,"behavior",-0.882578949652075
"225","control","block 1",25,"2","2534",-0.553426168644577,"md_as_04",-0.498189001454062,19,"behavior",-1.06820773806553
"226","control","block 2",1,"1","3047",-0.363138791808834,"md_as_04",-0.498189001454062,19,"behavior",-0.650542964135259
"227","control","block 2",2,"2","3393",-0.47731121791028,"md_as_04",-0.498189001454062,19,"behavior",-0.789764555445349
"228","control","block 2",3,"1","3914",-0.591483644011726,"md_as_04",-0.498189001454062,19,"behavior",-0.604135767031895
"229","control","block 2",4,"2","3554",-0.553426168644577,"md_as_04",-0.498189001454062,19,"behavior",-0.789764555445349
"230","control","block 2",5,"1","4114",-0.515368693277429,"md_as_04",-0.498189001454062,19,"behavior",-0.928986146755438
"231","control","block 2",6,"2","3391",-0.515368693277429,"md_as_04",-0.498189001454062,19,"behavior",-0.604135767031895
"232","control","block 2",7,"1","3038",-0.629541119378875,"md_as_04",-0.498189001454062,19,"behavior",-0.696950161238622
"233","control","block 2",8,"2","1535",-0.363138791808834,"md_as_04",-0.498189001454062,19,"behavior",-0.650542964135259
"234","control","block 2",9,"1","4047",-0.47731121791028,"md_as_04",-0.498189001454062,19,"behavior",-0.836171752548712
"235","control","block 2",10,"2","2606",-0.47731121791028,"md_as_04",-0.498189001454062,19,"behavior",-0.696950161238622
"236","control","block 2",11,"1","2628",-0.401196267175983,"md_as_04",-0.498189001454062,19,"behavior",-0.836171752548712
"237","control","block 2",12,"1","3779",-0.325081316441685,"md_as_04",-0.498189001454062,19,"behavior",-0.789764555445349
"238","control","block 2",13,"1","902",-0.553426168644577,"md_as_04",-0.498189001454062,19,"behavior",-0.882578949652075
