"","condition","block_no","trial_no","trial_type","rt","closeness","id","emotion_rating","closeness","pos_PNR"
"1648","treatment","block 2",9,"1",2952,55,"md_as_14",-0.0216482236919461,-2.04545744173512,0.913320923185796
"1655","treatment","block 2",10,"2",3633,53,"md_as_14",-0.101172310723585,-2.04545744173512,0.913320923185796
"1662","treatment","block 2",11,"1",2623,52,"md_as_14",-0.140934354239404,-2.04545744173512,0.913320923185796
"1669","treatment","block 2",12,"2",2892,64,"md_as_14",0.336210167950428,-2.04545744173512,0.913320923185796
"1676","treatment","block 2",13,"2",2107,69,"md_as_14",0.535020385529525,-2.04545744173512,0.913320923185796
"1683","treatment","block 2",14,"2",1614,58,"md_as_14",0.097637906855512,-2.04545744173512,0.913320923185796
"1690","treatment","block 2",15,"2",3419,62,"md_as_14",0.256686080918789,-2.04545744173512,0.913320923185796
"1697","treatment","block 2",16,"2",3869,69,"md_as_14",0.535020385529525,-2.04545744173512,0.913320923185796
"1704","treatment","block 2",17,"1",1340,64,"md_as_14",0.336210167950428,-2.04545744173512,0.913320923185796
"1711","treatment","block 2",18,"2",2658,58,"md_as_14",0.097637906855512,-2.04545744173512,0.913320923185796
"1718","treatment","block 2",19,"2",1675,54,"md_as_14",-0.0614102672077654,-2.04545744173512,0.913320923185796
"1725","treatment","block 2",20,"2",2506,46,"md_as_14",-0.37950661533432,-2.04545744173512,0.913320923185796
"1732","treatment","block 2",21,"1",2852,58,"md_as_14",0.097637906855512,-2.04545744173512,0.913320923185796
"1739","treatment","block 2",22,"2",1997,65,"md_as_14",0.375972211466247,-1.78792924535747,0.913320923185796
"1746","treatment","block 2",23,"2",1854,60,"md_as_14",0.177161993887151,-2.04545744173512,0.913320923185796
"1753","treatment","block 2",24,"2",2791,55,"md_as_14",-0.0216482236919461,-2.04545744173512,0.913320923185796
"1760","treatment","block 2",25,"2",2176,65,"md_as_14",0.375972211466247,-2.04545744173512,0.913320923185796
"1768","control","block 1",1,"1",3207,75,"md_as_14",0.773592646624441,-1.40163695079099,0.913320923185796
"1775","control","block 1",2,"2",3136,51,"md_as_14",-0.180696397755224,-0.671973727720972,0.913320923185796
"1782","control","block 1",3,"1",1624,80,"md_as_14",0.972402864203538,-1.87377197748335,0.913320923185796
"1789","control","block 1",4,"2",1113,66,"md_as_14",0.415734254982067,-1.44455831685393,0.913320923185796
"1796","control","block 1",5,"1",1787,61,"md_as_14",0.21692403740297,-1.53040104897981,0.913320923185796
"1803","control","block 1",6,"2",3915,61,"md_as_14",0.21692403740297,-1.44455831685393,0.913320923185796
"1810","control","block 1",7,"1",2707,58,"md_as_14",0.097637906855512,-1.35871558472804,0.913320923185796
"1817","control","block 1",8,"2",2525,71,"md_as_14",0.614544472561164,-1.57332241504276,0.913320923185796
