"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_loss"
"370",1,2,30,1231,1,"md_as_14","reciprocity","control",380
"371",1,2,31,1079,1,"md_as_14","reciprocity","control",380
"372",1,2,32,1713,0,"md_as_14","reciprocity","control",300
"373",1,2,33,1118,1,"md_as_14","reciprocity","control",320
"374",1,2,34,1092,0,"md_as_14","reciprocity","control",240
"375",1,3,1,2212,0,"md_as_14","reciprocity","control",40
"376",1,3,2,1903,1,"md_as_14","reciprocity","control",300
"377",1,3,3,2176,1,"md_as_14","reciprocity","control",320
"378",1,3,4,1757,1,"md_as_14","reciprocity","control",360
"379",1,3,5,2085,1,"md_as_14","reciprocity","control",380
"380",1,3,6,2003,0,"md_as_14","reciprocity","control",220
"381",1,3,7,2658,0,"md_as_14","reciprocity","control",60
"382",1,3,8,2871,0,"md_as_14","reciprocity","control",100
"383",1,3,9,1053,1,"md_as_14","reciprocity","control",340
"384",1,3,10,1786,0,"md_as_14","reciprocity","control",20
"385",1,3,11,1847,1,"md_as_14","reciprocity","control",360
"386",1,3,12,2448,1,"md_as_14","reciprocity","control",240
"387",1,3,13,1138,0,"md_as_14","reciprocity","control",40
"388",1,3,14,1632,0,"md_as_14","reciprocity","control",280
"389",1,3,15,2253,0,"md_as_14","reciprocity","control",60
"390",1,3,16,2294,1,"md_as_14","reciprocity","control",220
"391",1,3,17,2212,0,"md_as_14","reciprocity","control",240
"392",1,3,18,1482,1,"md_as_14","reciprocity","control",120
"393",1,3,19,1046,0,"md_as_14","reciprocity","control",100
"394",1,3,20,1036,1,"md_as_14","reciprocity","control",280
"395",1,3,21,1583,0,"md_as_14","reciprocity","control",360
"396",1,3,22,1274,1,"md_as_14","reciprocity","control",160
"397",1,3,23,1287,0,"md_as_14","reciprocity","control",20
"398",1,3,24,1412,1,"md_as_14","reciprocity","control",340
"399",1,3,25,1902,0,"md_as_14","reciprocity","control",380
"400",1,3,26,1702,0,"md_as_14","reciprocity","control",120
"401",1,3,27,2049,1,"md_as_14","reciprocity","control",180
"402",1,3,28,1818,1,"md_as_14","reciprocity","control",300
