"","subj_idx","blockno","trialno","rt","response","id","motive","condition","other_poss_gain"
"405",1,3,31,1529,1,"md_as_13","reciprocity","control",160
"406",1,3,32,1378,1,"md_as_13","reciprocity","control",340
"407",1,3,33,2073,1,"md_as_13","reciprocity","control",320
"408",1,3,34,1838,1,"md_as_13","reciprocity","control",180
"409",2,1,1,1837,0,"md_as_14","reciprocity","decay",340
"410",2,1,2,2200,1,"md_as_14","reciprocity","decay",360
"411",2,1,3,2776,1,"md_as_14","reciprocity","decay",380
"412",2,1,4,1733,0,"md_as_14","reciprocity","decay",320
"413",2,1,5,1731,1,"md_as_14","reciprocity","decay",280
"414",2,1,6,1221,1,"md_as_14","reciprocity","decay",280
"415",2,1,7,1443,0,"md_as_14","reciprocity","decay",360
"416",2,1,8,1521,0,"md_as_14","reciprocity","decay",380
"417",2,1,9,1282,1,"md_as_14","reciprocity","decay",220
"418",2,1,10,3029,0,"md_as_14","reciprocity","decay",160
"419",2,1,11,1302,1,"md_as_14","reciprocity","decay",380
"420",2,1,12,2106,0,"md_as_14","reciprocity","decay",180
"421",2,1,13,2008,1,"md_as_14","reciprocity","decay",60
"422",2,1,14,1921,0,"md_as_14","reciprocity","decay",120
"423",2,1,15,2030,1,"md_as_14","reciprocity","decay",340
"424",2,1,16,2177,0,"md_as_14","reciprocity","decay",40
"425",2,1,17,2568,1,"md_as_14","reciprocity","decay",360
"426",2,1,18,1435,1,"md_as_14","reciprocity","decay",360
"427",2,1,19,1349,1,"md_as_14","reciprocity","decay",240
"428",2,1,20,1563,0,"md_as_14","reciprocity","decay",160
"429",2,1,21,1373,1,"md_as_14","reciprocity","decay",320
"430",2,1,22,2531,0,"md_as_14","reciprocity","decay",20
"431",2,1,23,1978,0,"md_as_14","reciprocity","decay",100
"432",2,1,24,1648,1,"md_as_14","reciprocity","decay",300
"433",2,1,25,1616,1,"md_as_14","reciprocity","decay",100
"434",2,1,26,2516,1,"md_as_14","reciprocity","decay",220
"435",2,1,27,3085,1,"md_as_14","reciprocity","decay",60
"436",2,1,28,889,0,"md_as_14","reciprocity","decay",240
"437",2,1,29,1127,0,"md_as_14","reciprocity","decay",300
"438",2,1,30,2215,1,"md_as_14","reciprocity","decay",40
"439",2,1,31,1486,1,"md_as_14","reciprocity","decay",120
"440",2,1,32,1190,1,"md_as_14","reciprocity","decay",380
"441",2,1,33,2459,0,"md_as_14","reciprocity","decay",20
"442",2,1,34,1623,1,"md_as_14","reciprocity","decay",180
"443",2,2,1,2429,1,"md_as_14","reciprocity","decay",340
"444",2,2,2,1717,1,"md_as_14","reciprocity","decay",360
